Date,User,Rating/Likes,Review
2019-08-02,SMHKMN,0,the @bmo canada ceo said they were going to be the leaders in mobile banking by 2019. @rbc seems to have won that race; free ipad and mobile phone insurance included with credit cards.  sadly getting statements from rbc still feels like 1997.  get with it bmo! #lasttotheparty
2019-08-02,Devin Scully,0,"@bmo just spent 37 minutes on the phone with customer service, most of it on hold, only to be hung up on before my second issue could be resolved or even addressed. not happy at all."
2019-08-02,Karl McCarthy,11,"a very happy 3yr milestone to @bmo sjmo personal banker, anna zhou!  always striving to provide an exceptional customer experience! #purpose #boldlygrowthegood #proudtoworkatbmo @aaronnaccarato @janiceroyhanson @wendizhang312 @vickyguo11 @mikegauthier71 @chenjia7777pic.twitter.com/t4zv0foecr"
2019-08-02,█████████████████🍁,0,"@bmo on android i used to be able to accept etransfers by way of the app via an ""open app"" button on this page 

any reason why this was removed? i now have to enter my card details in a temp window everytime which has become a massive inconvenience to what was super convenient pic.twitter.com/f3bwpccp9d"
2019-08-02,Sheldon,0,@bmo shame on you! i've been a customer for over 6 years and you guys have made me decide to leave you! you have no care for me or my family what a shame! disrespectful service via phone i'll never recommend a friend to you again! you've lost this customer for life! never again
2019-08-02,JT,0,@bmo something up with the ios app? i’ve tried on multiple networks tonight and i keep getting a “we lost connection!” pop up.
2019-08-02,Elevate,9,"we have nothing but love and respect for @cmmcgowan (chief information officer at @bmo) and cannot wait for the exciting things she's involved in at #elevatetechfest this sept. 

festival passes: https://bit.ly/32y9cra pic.twitter.com/wkdyfegie2"
2019-08-02,Jason Anderson,0,@bmo is it true at some branches that you can get new debit card/check card made right there?
2019-08-02,Willy Baldy,0,"with a 3% transfer fee, the best yearly rate you can achieve *if* you borrow for six months is 6.99% (2 x 3% + 0.99%). it increases if you borrow for a shorter time. @bmo is the only bank i know doing this shady marketing, in my opinion it should be illegal even with fine prints."
2019-08-01,Willy Baldy,0,"wow @bmo at it again, they show the potential savings of a 0.99% balance transfer without including the 3% transfer fee. poor souls who don't read the fine prints. @ratesupermarket @moneysensepic.twitter.com/khltoszwis"
2019-08-01,Patrick McCauley,0,"roger, i left @bmo years ago - @rbc is much better. maybe you and the missus should be switching banks?"
2019-08-01,Roger Loves Music,2,"bankofmontreal @bmo
my wife just got home feeling #angryanddisgusted after talking 2 ur mgr!
#bankmgr @ 2564shaugnessyst poco had little regard 2 what #realcustomerservice is
my wife a cust of urs 4 50yr was just treated like shit
#couldntorwouldntpayher $3.79
#friendsdontusebom!"
2019-08-01,"Kony, Inc",6,"excited about the new financing from @bmo! thanks for the write up @finovate
https://finovate.com/kony-secures-37-million-in-new-financing/ …pic.twitter.com/ssjbxabw5p"
2019-08-01,Eleanor Beaton,0,3 steps to harness the power of  stories - tune in here: http://ow.ly/cqvc30pgnao  @bmo #womeninfinance #storytelling #workplaceculture #learning #womenleaders #innovation
2019-08-01,Nauman Danish,0,"@bmo applied- july 5, 2019
and  still waiting for someone to reach me regarding an application 
if you guys can't handle online applications why offer such options"
2019-08-01,Michael Dawson,0,@bmo i’m having trouble trying to login to the mobile app with my bmo business mastercard. i used to be able to login but now it says something is wrong. i can still login on the website on my laptop. i also cannot view my mastercard info if i login with my bank card.
2019-08-01,Ryan Wachal,0,@bmo website and investorline all down right now???
2019-08-01,Future of Sourcing,1,@bidopsinc @siddramesh13 @getsavings @zmgreenberger @lyft @pge4me @ibm @bmo @sapariba @sscudder @procureability @zycus find out if you or your nominee was selected as  rising star finalist!
2019-08-01,Future of Sourcing,3,@bidopsinc @siddramesh13 @getsavings @zmgreenberger @lyft @pge4me @ibm @bmo @sapariba @sscudder @procureability @zycus find out if you or your nominee was selected as a rising star finalist!
2019-08-01,Angelica Kussler,10,so excited for the launch of bmo wellness seriesjoin us on august 6th for a free and fun movement experience @poliveirarvp @bmostacktbm #proudtoworkaatbmo #boldlygrouwththegood @alessandr017 @dorianat @bmo pic.twitter.com/9o5ffjpejh
2019-08-01,AUSTON 6:13,0,hey @bmo anyone working today? asking for me. pic.twitter.com/iaaq3idlsw
2019-08-01,CIO Talk Network,0,"driving a robust #dataanalytics engine in an enterprise is not much different than a team sport. listen to deepa soni, us cio @bmo http://ow.ly/6qjg50vjgra  on @ciotalknetworkpic.twitter.com/yqbpnagkxe"
2019-08-01,Elevate,15,"we have nothing but love and respect for @cmmcgowan (chief information officer at @bmo) and cannot wait for the exciting things she's involved in at #elevatetechfest this sept. 

festival passes: https://bit.ly/32y9cra pic.twitter.com/ggywmshkrm"
2019-08-01,Eric Onstad,0,"“people are getting a bit nervous about the demand side and seasonally this is also weak period for global #industrial demand,” said colin hamilton at @bmo capital.

#aluminium hits one-month low on global demand worries

#metals
https://reut.rs/2ludkq4 pic.twitter.com/tej6j08t41"
2019-08-01,Kymanee Johnson,0,i guess it’s fair to say it’s time to take my business elsewhere. this much time on hold. that’s ridiculous. efficiency is not important @bmo pic.twitter.com/mbwygccpng
2019-08-01,Christopher Danvers,3,"nice work @kony -  securing $37 million in financing from @bmo https://buff.ly/2mpmvcm  @finovate
#finserv #fintech #banking #digital"
2019-08-01,United Way Greater Toronto,36,"we’re proud to partner with local leaders like @bmo to help neighbourhoods across the gta thrive. this includes a $2.3 million investment in grassroots initiatives, including projects that will connect residents to economic opportunities. https://untdwy.org/2kacsqu  #bmounitedwaypic.twitter.com/crg1v1jluh"
2019-08-01,Kymanee Johnson,0,@bmo why am i calling do business and your line is ringing without answer? the line have just been ringing in my ear? #badservice #noservicing
2019-08-01,Network of Executive Women,1,"@valeriejarrett sr. advisor, @obamafoundation chats w/ leslie anderson-rutland, us & internat'l head, workplace experience technology, @bmo to share her journey and insights from working as the longest-serving senior advisor in the obama white house. #newexecforum #genderequalitypic.twitter.com/dhvccdah9y"
2019-08-01,Yo,0,"@bmo hello, i keep receiving calls from bmo from this number 1-888-676-2269. it's an automated message saying to call the bank. today, i received a text with the same message. i already called customer service and they said there was nothing wrong. is it legit? pic.twitter.com/0blga4nbov"
2019-08-01,MachoDadness,0,"hey @bmo, you need to change your website! “dropped by” with my child to open a bank account today and after waiting in line for 15 minutes was told that they would be unable to open a bank account today because they are busy and i’d have to book appointment next week! #bmopic.twitter.com/xanr81llvn"
2019-08-01,Kris Barstad 🇨🇦,0,"@scotiabank so i’ve been getting service charged up to $100 for god only knows what, and i just figured i’d let you know i’ll be stopping by the branch at uptown in victoria, bc to close my accounts. @bmo, what’s good, playa?"
2019-08-01,TorontoRehabFdn,10,"register for this year's rocket ride for rehab presented by bmo!

join us october 30th at first canadian place as we spin in support of toronto rehab!

visit us online at http://www.rocketride4rehab.com 
#whereincrediblehappens #torontorehab #rr4r #thursdaythoughts @tri_uhn @uhn @bmo pic.twitter.com/5ythqwdkjz"
2019-08-01,StartEd,2,"we are very excited to announce our partnership with @att aspire and @bmo to host our started hyper accelerator demo day on september 12th, 2019 at the grand hyatt in nyc from 4-6pm.  join the #armyofedtech apply at https://buff.ly/2u7axvz   -  deadline this friday, august 2nd!!pic.twitter.com/kik0es4ovv"
2019-08-01,Rob Diehl,0,a great activation between @bmo and the @impactmontreal as part of their #fanfini initiative.  http://ow.ly/7rdj50vjhua   via @jusdallaire & @strategyonline
2019-08-01,Victor,0,@bmo why can't i balance transfer from chequeing to credit card anymore?  why would you get rid of that?
2019-08-01,AllCities Installation,1,"new l shaped desk, great for client meetings @bmo . another excellent drive to montreal! #montreal #officefurniture #madeincanadapic.twitter.com/xqkz7yl3w1"
2019-08-01,Community Roundtable,1,"using @yammer? listen in as tanya caruana, lead continuous improvement specialist, enterprise employee technology experience @bmo shares ideas + best practices. #yamjam #yammer #office365 #podcasthttps://communityroundtable.com/community-manager-podcast/podcast-conversations-with-community-managers-tanya-caruana/ …"
2019-08-01,glsrees,0,one loans manager @ bmo ruined our trust 8 yrs ago. exactly why we pulled everything we could out of bmo and transferred elsewhere.
2019-07-31,Brian D Edwards,0,hey @bmo is your online banking down right now? can't get in...
2019-07-31,Kevin Sole,0,"i have all of the account details. the closest bmo is currently over an hour away, however. other banks, a scotia and an atb are closer.

she won't take an e-transfer. just a deposit into her account.

still. i'm assuming i need a bmo?"
2019-07-31,Kevin Sole,0,"@bmo i'm assuming, but verifying, that i would need to be in a bmo in order to deposit money into a bmo account, though i have all the necessary tracking and institution numbers. yes?"
2019-07-31,D Yaz,0,@bmo so bmo...i phone and you want me to hold for 25 min wait time. i email and you ignore me. are customers not needed for your business? smh
2019-07-31,Ryerson Research,1,"the @ryersondmz is extending its partnership with @bmo through the launch of the dmz small business banking challenge, which aims to find fintech solutions for small business clients. @betakithttp://ow.ly/skxc50viqk2 "
2019-07-31,Abdeen Wahab,0,@rbc   it’s been over a month now trying to transfer accounts from rbc to @bmo.  2 phone calls and 2 emails from bmo not returned.  how can you hold these accounts without permission?
2019-07-31,Jake Okechukwu Effoduh,0,"dear @bmo, please how can i send money from here to nigeria. i did this in the past but i saw somewhere that you have no banking agreement with any nigerian or ghanian bank. as in, not one single bank to work with in nigeria?"
2019-07-31,Antonia Ramos,5,@bmo king & church proud to sponsor the @manshafinancial tmi mens longest drive competition in support of #financialliteracy #addanotherzero @glenabbeygc #hole13 @troyjalovec @nardine_flaropic.twitter.com/scygdy9ssa
2019-07-31,TD Ameritrade Network,2,"today on #morningtradelive:
expansive preview of the #fomc meeting
@bmo’s janelle woodward
trip miller of gullane capital on $aapl earnings
@joeatiger trades $qcom
cresset wealth advisors cio @jackablin
earnings coverage $twlo $ge $amt $spot
click below to stream live at 9am et!"
2019-07-31,Andrew James,14,"“by speaking openly about my #disability, i can show that it is possible to overcome barriers + stigma, foster an environment that is more inclusive”: paulette jagers of @bmo on partnership w/ @ada25advleaders + her own #leadership journey via @chitrusthttp://bit.ly/2y5kzrw "
2019-07-31,AlanaWalkerCarpenter,0,join us! 2019 summer series (august 7 at 7:30 a.m. @marche_to) - on partnerships with alexandra lee @bmo bank of montreal. all are welcome. click below.  #intriciti2019summerseries #partnershiphttps://mailchi.mp/d458a3a8cb17/2019-summer-series-august-7-on-partnership-with-alexandra-lee-bmo-bank-of-montreal …
2019-07-31,☆lovesky☆,0,@bmo why you always tryna finesse money out of my acct thinking i'm not going to notice
2019-07-31,Trevor LaForte,10,thanks to @bmo for joining us for a fantastic day today @wasacnews kids camphttps://twitter.com/kevin_chief/status/1156322429641338881 …
2019-07-31,Calgary Library Fdn,2,tomorrow is the last day to have your donation matched by @bmo so don't forget to visit http://librarymatch.ca . a donation of $50 will have a $100 impact at @calgarylibrarypic.twitter.com/yec2mg8cid
2019-07-31,Jit Chaudhari,0,@bmo hi i open account online few minutes ago but couldn’t open online banking?
2019-07-31,Ross,7,"through the kindness of our friends @bmo, kk and i had the pleasure of meeting marcus stroman a few years ago. we miss him already @mstro006. https://ift.tt/2ywrmbf pic.twitter.com/p1fgr3qsgp"
2019-07-31,Community Roundtable,1,"using @yammer? listen in as tanya caruana, lead continuous improvement specialist, enterprise employee technology experience @bmo shares ideas + best practices. #yamjam #yammer #office365 #podcast #cmgrhttps://communityroundtable.com/community-manager-podcast/podcast-conversations-with-community-managers-tanya-caruana/ …"
2019-07-30,Vanessa Laroque,3,"@bmo was very proud to be part of this initiative! #toolsforschool
thanks for the invite @myunitedwayhttps://twitter.com/rcyager/status/1154034331376971776 …"
2019-07-30,WASAC,16,proud to host @bmo for a #wasackidscamp tour today!  #miigwech @_johnmacaulay & team #beingbmopic.twitter.com/smforecvop
2019-07-30,Jacquie,5,so excited for the launch of digital friday’s august 2! come to #bmostackt branch to talk with our team of digital leaders and learn about our award winning online platforms! #proudtoworkaatbmo #waystobank @bmo @poliveirarvp @alessandr017 @usbrido @dorianat @angelicakussler
2019-07-30,Kevin Chief,49,helping thousands of #indigenousyouth find belonging in a summer to remember — #miigwech @bmo for visiting @wasacnews kids camp #futureisbright @_johnmacaulaypic.twitter.com/ta732lqwin
2019-07-30,Black Moms Connection,3,mama we made it! we ended up in an @bmo sponsored ad on ig. s/o to @iamsiobhanbent the mortgage lady (@mortgages4moms) for the capture!  https://www.instagram.com/p/b0jwpuofbaj/?igshid=miuorw9b3mi6 …
2019-07-30,VIBE Arts,22,have you seen the interactive #murals that we #painted this year at roselands junior public school @tdsb?! this project engaged grades 4-6 to take part in the #process by diving in and helping #paint! thank you to @canadalifeco and @bmo for making this project possible. pic.twitter.com/c9ocjmz9lw
2019-07-30,Dee Duquette,0,@bmo why am i no longet able to take a screen shot of my accounts? this worked prior to the last update. do not tell me to uninstall & reinstall your app have done this twice! plus my android system is up to date. please fix this!
2019-07-30,Shirl Milligan,2,"rt @bmo join us next thursday at @stacktmarket for a unique collaborative session on how you can do your part to reduce plastic. @buildingrootsto will be sharing the power of numbers, persuasion and progress. visit for your free ticket! #proudtoworkatbmo https://soch.us/2zo2umi "
2019-07-30,"Kony, Inc",3,"excited to find a new capital partner, @bmo, to help further accelerate growth of #digitalbanking and #lowcode with @konydbx and #konyquantum!https://www.kony.com/resources/press-releases/kony-receives-37-million-in-financing-from-bmo/ …"
2019-07-30,Pairwise Affinity,0,"why does @bmo rip off customers so badly on currency exchange? today's cad/usd buy/sell rates are 1.3551/1.2799, which is a 5.9% spread.  simply moving $10k costs you almost $300. what are better foreign exchange options for canadian business customers? #fx #fail @itbeginswithif"
2019-07-30,L-SPARK 🚀,10,"the black innovation fellowship, a fully-subsidized program in partnership with @dreammakervc, @shopify, @bmo, @cdnwomenfdn and @ryersonu, supports #techstartups led by black entrepreneurs. apply now at https://bit.ly/2keimta  to access startup support, community and mentorship!"
2019-07-30,Sophie🇨🇦,0,"@bmo what is going on with your online banking? everytime i go on to make a transaction in the past weeks, it says it’s unavailable. this is very inconvenient as a customer. #frustrated #noservice"
2019-07-30,Ahmed Omar,0,"the ayes have it!
@tundefashola 

congratulations sir! 

@officialapcng @apcukingdom @bmo"
2019-07-30,Ahmed Omar,0,"the ayes have it:
@chibuikeamaechi

congratulations sir, the lion of the south south!

@officialapcng @bmo @apcukingdom"
2019-07-30,Ahmed Omar,0,"the ayes have it. 

congratulations @fkeyamo
@bmo @officialapcng @apcyouthwing @apcukingdom"
2019-07-30,UWaterloo Alumni,6,"open to all alumni and the community, the annual fun run takes place sept. 28! this family event is a 2.5 or 5k race around ring rd. run, jog or walk your way to the finish line. costumes encouraged. register: http://ow.ly/ci9250v4ujd . sponsored by: @bmo #uwaterlooalumnipic.twitter.com/qnjtlxrwgc"
2019-07-30,Antoine D.-Laporte,0,"hey @bmo, i need access to my financial data. please let me use the financial services apps i need!"
2019-07-30,David Bakker,0,what would you do if your private information was breached? @bmo gives you a free annual subscription to onguard (identity protection) free if you’re on our performance or premium plan. this is a $175 value! #bmo #bestteaminbanking #bmopride #proudtoworkforbmo #moneysmarthttps://twitter.com/bnnbloomberg/status/1156003383129468929 …
2019-07-29,Paineful Truths 🇺🇸🚀,3,this illuminati religion brought to you by @bmo. pic.twitter.com/rgywhvyuq9
2019-07-29,DevoT,1,"this has happened on two occasions with @bmo. in both instances, i was credited the value of my lost trade. now that’s customer service."
2019-07-29,Maricruz Rodriguez,1,facilitating a resume workshop today for @bmo at the @stacktmarket. so excited! #allthingsemployment #resumewriting #careerpic.twitter.com/70erdm1y1d
2019-07-29,Adam Nanjee,3,#stsatthesummit enough said awesome to see @bmo supporting @summit_golf keep rocking @leggogolf cc: @adamkassammdhttps://twitter.com/leggogolf/status/1155916886103724033 …
2019-07-29,Mike Wendling,2,"calling all @torontofc & @mlsefoundation fans -  help me ensure that all kids have access to sport and the opportunity to develop and pursue lasting dreams on, and off, the playing field. 2019 all for one cup presented by @bmo #tfclive https://mlsefoundation.akaraisin.com/pledge/participant/home.aspx?seid=19697&mid=9&pid=5210861#.xt9c6ju-feu.twitter …"
2019-07-29,DMFinancialServ,0,"@andraslazar78 from @bmo gives us top tips into the future of #finserv now on day one! andras currently leads the #northamerica cards #marketing & #digitalacquisition team at bmo #financial download our brochure to learn more, http://bit.ly/2gbqpag pic.twitter.com/tvgngbll6b"
2019-07-29,HRD Canada,1,"it's time for organizations to widen the diversity lens. gain strategies for bias-free recruitment and long-term inclusivity, as @singhclusion, director of d&i of @bmo, joins us at #hrleadersca to discuss. 

learn more: https://hubs.ly/h0jzsfp0 pic.twitter.com/be3nc50jmj"
2019-07-29,Daryl Matheson,0,@bmo still sitting in your sydney branch at 3pm for a 2pm appointment? #switching
2019-07-29,Michael Julihen,0,the canadian banks are making more than half a billion dollars net profit every quarterly period(every three months). this is excessive. and why are those banks @rbc @scotiabank @cibc @bmo @td_canada on the stock market? to make more money? that is greed upon greed. @cbctoronto
2019-07-29,Edikson514,1,"@bmo are you going to stop dealing with these banks instead of trying to ban us from buying cryptourrencies and digital assets with our own money. your system is rigged, let us do with our money what we want. #boycottbmo #btc #crypto #xrp #xrpcommunity #canadacrypto #bmohypocrisypic.twitter.com/cqwukv9cbo"
2019-07-29,Alessia Panunto,0,@bmo are the apps down today? i can’t seem to access mine
2019-07-29,Jit Chaudhari,0,@bmo hello i need help
2019-07-29,Lynn Keane,8,opening the dialogue on #suicide & ending the #stigma associated with #mentalillness #stompthestigma @summit_golf @leggogolf #sicknotweak @mmtraves @bob_traves @blglaw @bmo @aircanada @underarmour @titleistca @taggart7 @fan590 #suicideprevention together we can change outcomes.pic.twitter.com/mck0nwpjmy
2019-07-29,United Way Chicago,4,free snacks help prevent kids from going hungry during the summer. our partners @bmo & @sikichllp organized snack packs for @metrofamchicago summer campers. read our blog to learn how many they packed! (hint: thousands!) https://bit.ly/2ohbt29  #liveunited #endsummerhunger
2019-07-29,XL Radio 🇨🇦,1,awesome performance #bard2019 #bmo
2019-07-29,David Bakker,12,great night at bard on the beach at the @bmo main stage! taming of the shew is well worth it! #bmo #bard2019 #bardonthebeachpic.twitter.com/4qypffivpt
2019-07-29,B-Gray,2,omg because they are lucky ducks and deserve someone as awesome as you. just ‘cause @bmo can go suck some toes doesn’t mean anything other than that they a bunch of freaky toe-suckers so turn that frown upside-down and love yourself bb!
2019-07-29,jade.......:°,3,@bmo post up. im broke. what is this
2019-07-29,Edikson514,0,@bmo this is how it's done. take a lesson. pic.twitter.com/p5jk1ydgvf
2019-07-29,Edikson514,0,"why block interac as well? that's my money! btw, so much hypocrisy bmo. really not impressed as a client of over 20 years. let me help you evaluate risks better. #bmohypocritespic.twitter.com/oxghrllfvf"
2019-07-29,Edikson514,0,but i can go to a casino tho and completely max out all my cards and empty all my accounts and that's ok with bmo? but digital assets are risky?
2019-07-29,Edikson514,0,"that's kinda ridiculous, world banks are all getting ready to work with xrp (bmo included) but you are evaluating risks? c'mon guys, you can do better than that."
2019-07-29,Edikson514,0,@bmo we want digital asset trading!
2019-07-29,Ben Sullivan,1,"this is your annual reminder that nintendo accounts are an order of magnitude more secure than online bank accounts.

two-factor authentication is not hard. make it sms if you _have_ to (though that's far less secure than true two-factor via an app or usb key).

@tangerine
@bmo"
2019-07-29,jennifer doust,23,enjoyed seeing our @bmo branch in st. john’s today with this history on the side of the building #proudtoworkatbmo #newfoundlandpic.twitter.com/uiyxqp7csu
2019-07-28,Justin Sharp,0,@chase day 3 of not being able to log into my bank account from your website. anybody have any offers on changing bank accounts? @pncbank @bankofamerica @askhuntington @bmo @usbank
2019-07-28,Momo Goldring,2,"i think bmo is the most unfriendly, stiff necked, crazy high fees, worst customer service bank to be chartered in canada.
i should know, about to end a 40 year relationship with them"
2019-07-28,Ian Leggatt,133,thanks to all my friends for joining us tomorrow @summit_golf to end the stigma associated with suicide. stomp the stigma tees off tomorrow. thanks @bmo @titleistca @aircanada @blglaw for your amazing support.
2019-07-28,Keith Cowan,0,did she get her problem with bmo sorted out?
2019-07-28,Jenny Chen,8,folks were talking about our booth at the far end of the festival. these little @bmo fans found us and the candy we were handing out. super fun day with #ottawaasianfest!!pic.twitter.com/ab8qs202wl
2019-07-28,Johnny,0,@bmo you may want to edit out novillo from your french tv ad ....
2019-07-28,🔴⚽️🏆⭐️🛡⚽️🔴Santo Chiodo,4,this just happened!! thankyou @torontofc & @bmo #tfclive #soccer @ bmo field https://www.instagram.com/p/b0ctaurpyzv/?igshid=eoilhueb3qx1 …
2019-07-27,Jason Rice,0,"right place, right time at @torontofc game tonight. pregame warm-up from behind the south end goal compliments of @bmo. #tfclivepic.twitter.com/0yuirj1aak – at bmo field"
2019-07-27,Momo Goldring,0,"if you like doing business with overly officious branch martinets, who enforce picayune mindless policy without a thought for a long established customer relationship ,(a customer with more than $2m in assets invested at bmo), then this is the bank for you.
i am looking to change"
2019-07-27,Hugo Levita,22,what a great neighborhood! proudly dundas & ossington #boldlygrowthegood #ossingtonfest @bmo @deolindaggomes @poliveirarvppic.twitter.com/qegtaa4yvx
2019-07-27,Mark Nicholas,0,@bmo why can’t we add bmo debit card to apple pay.  is your system down?
2019-07-27,The Money Bloggess,1,"rt @cdnbankers: rt @bmo: back to school season is around the corner. these helpful tips from @cdnbankers can help you avoid the ""roommate scam."" #cyberaware https://bit.ly/2jp34we  https://buff.ly/2mip5bv "
2019-07-27,Dulce Marafona,19,"what a beautiful day for the ossfest!!! 
@bmo @hugolevita @deolindaggomes @susanabudzak @poliveirarvp #beingbmo #proudtoworkatbmo #dundas&ossington #bmoteam #ossingtonfestpic.twitter.com/vqzosia9zc"
2019-07-27,kevin,0,@bmo why are all my online purchases being declined?
2019-07-27,James Shum,0,"this is a receipt from filling up today. there is no exclusive bmo fuel discount shown. i tried re-activating, just in case i didn’t do it correctly, and i get a message that i have already activated the offer.pic.twitter.com/cp3zrv2e5j"
2019-07-27,Dulce Marafona,24,"want some fresh lemonade?  
come and join bmo at ossfest!!! 
@bmo @hugolevita @deolindaggomes @susanabudzak @poliveirarvp #beingbmo #proudtoworkatbmo #dundas&ossington #bmoteam #ossingtonfestpic.twitter.com/yapw9458tj"
2019-07-27,James Shum,0,"@bmo i activated the 3 cents off per l at shell promo on my bmo air miles world elite card over a month ago. i have filled up twice since, but have not received the discount on either fill up. @airmiles says to contact bmo about it."
2019-07-27,Toronto FC,30,"want to watch us play in the windy city? 

visit the @bmo mobile branch at gate 1b tonight @bmofield for your chance to win a vip road trip to chicago.pic.twitter.com/obqf1km9ov"
2019-07-27,Rye Encoke,0,@bmo what is the email for bmo mastercard if i  have general questions.  i hit the email button at the bottom of the page but it doesn't give an email address just takes me to an email program on my computer that i don't use.
2019-07-27,Jenny Chen,23,finally got to try #yoshto and their famous cheesy korean corn dogs!! come check them out at #ottawaasianfest and visit the @bmo tent for your chance to win some cool swag!! pic.twitter.com/fbkfoc7orl
2019-07-27,Vishal Jawa,0,"cybercrime is going up across canada and most cases remain unsolved -
https://www.cbc.ca/news/canada/nova-scotia/cyber-crime-rising-across-canada-1.5221330 …
yet, major banks doesn't have 2-factor authentication; unfortunately.
banks definitely needs better security. @bmo kindly take notice."
2019-07-27,Jenna D,0,@scotiabankhelps @scotiabank why is it every time i go to use my app i must change my password. it is very annoying. never have to do that with @bmo.
2019-07-27,Karen D'souza,3,@bmo had a great booth with prizes and i love that they are supporting the asian community! https://twitter.com/miss_jennyc/status/1154905367840772096 …
2019-07-27,Jenny Chen,29,what a crew to kick off #ottawaasianfest in chinatown today! make sure you come back saturday & sunday for more chances to win some @bmo swag and try some amazing food vendors from #ottawa and #toronto! that’s a lot of people!!!pic.twitter.com/vgygnrmfjj
